scan_id,image_path,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
1000,Tomato_Septoria_leaf_spot1000.jpg,0.999534469,0.011037276,3.26479147,295.7968624,256.0078124,361.3322571,256.0078124,361.3377921,196103.1667,295.6591598,0.121968468,133831.8943,0.682456569,196322,61,146,2603100919,2.345967373,42,3.056878231,244,25.98358762,110.5586384,118,1,243,18.49787696,115.1492246,-0.752320162,2603100919,0.234840985,1036.131414,25.57796804,75.32976301,-6.976652744,4.721119209,1.870981047,0.420600183,0.9033154,1.728102776,0.960637415,0.666022828,0.639010035,0.982751777,0.924516452,-0.144704116,0.575771259,0.42573007,4.986469698,0.082793403,4.268617744,0.483747781,0.192217889,9.972939397,3.030578362,1.648025064,6.401369313,11897.78041,0.060603399,26.25016361,46104.45177,1.758190043,26.26841108,121.2586873,3531.29553,5.673471882,0.06380779,0.043035395,1.131036845,0.004250316,27585.02912,0.211669408,1.927532101,25.38039906,8.630556206,265.9787756,0.392543471,0.069971846,3.748941284,76934.76705,0.551267043,0.663568016,5.531941357,0.758469388,18.91196084,0.056360083,1011.935387,0.160650165,3.678687977,27.64343547,1154094.742,34065016.93,44444.8345,0.114056519,1905.913796,0.302574027,0.567700365,16.21247632,0.06580098,5.437533819,0.032085044,1153123.35,404.7191475,3.77E-05,31.78476336,0.02756995,0.001488435
1001,Tomato_Septoria_leaf_spot1001.jpg,0.999671534,0.011036734,3.264199037,295.7576935,256.0078124,361.3322571,256.0078124,361.3377921,195978.75,295.6605472,0.121780257,133982.0323,0.683655918,196173,46,153,2708503133,2.543831176,53,2.533168377,237,32.40933997,110.6140244,121,1,236,23.95462649,117.5019447,-0.682027102,2708503133,0.205134383,1571.244619,26.39201496,146.8877634,-13.06950019,6.387519008,3.453087708,0.28512462,1.272606304,1.990102473,1.584098768,0.598519991,0.558007253,0.969370326,0.898694866,-0.142346643,0.594132282,0.41338711,5.064808943,0.062729437,4.647565665,0.49277122,0.145097446,10.12961789,3.18686282,2.460151679,6.341948997,15223.48882,0.077602365,18.65494953,40241.82732,2.592915033,27.05862173,87.27351368,2549.468913,6.112731979,0.081355949,0.053365096,1.440212948,0.006231308,26677.4206,0.188413506,2.705794012,26.57802631,4.716436832,132.6965369,0.3416166,0.085077927,3.736594667,94287.45036,0.623437999,0.719860296,2.176632553,0.803058029,21.02687581,0.07046025,1373.35633,0.169801722,4.551554562,28.24851632,708006.6826,22483343.27,27023.6943,0.133738024,2442.209941,0.30195474,0.56811797,16.75774478,0.077628555,5.4913174,0.041228915,707418.3862,530.2183322,3.05E-05,43.63674312,0.057239176,0.001144272
1002,Tomato_Septoria_leaf_spot1002.jpg,0.999990485,0.011048091,3.265919848,295.6094271,256.0078124,361.3322571,256.0078124,361.3377921,196338.8333,295.6066144,0.122314961,133559.6733,0.680250927,196592,102,196,4878519657,2.491428009,57,2.704078137,244,29.80505829,153.3560114,158,1,243,22.68895364,157.5292151,-0.606684115,4878519657,0.204675677,1297.387371,46.13394159,112.8118647,-7.678628476,6.364691649,1.486077472,0.609368303,0.807583614,1.607504702,0.736408708,0.688519917,0.662008779,0.985993363,0.931404331,-0.256534525,0.791997747,0.395745551,6.701698521,0.085027721,4.229583326,0.734230214,0.200776782,13.40339704,3.199636776,1.96269228,6.462834558,12028.27031,0.061183926,33.77228684,40237.60075,2.142489293,46.33875743,146.3947872,7840.119888,3.1146923,0.028695284,0.033013638,1.366714016,0.001532459,22590.49778,0.181315115,2.385112134,43.61261924,13.76532407,748.4513648,0.29755252,0.032122544,3.979079768,74424.01362,0.539723903,0.630293274,9.376567919,0.740432529,31.12465921,0.025273474,595.7026899,0.14056222,5.229958347,43.39075035,1584954.084,80397293.84,34577.60403,0.059997324,1057.322794,0.249486266,0.506460702,21.61144887,0.031077774,5.827570563,0.021557337,1582802.245,272.787181,4.54E-05,27.76109251,0.030581564,0.001854746
1003,Tomato_Septoria_leaf_spot1003.jpg,0.999449865,0.01104061,3.265080515,295.7337093,256.0078124,361.3322571,256.0078124,361.3377921,196157.5,295.5710158,0.122047029,133770.4513,0.681954303,196379,53,168,3160351952,2.687816613,71,2.25497115,232,37.46263194,118.9776096,132,1,231,28.81268502,126.8586844,-0.595404607,3160351952,0.179078594,1937.454211,30.32777372,237.2375897,-17.35386571,10.18171616,1.409094678,0.749971275,0.84182455,1.578087784,0.62622189,0.661078058,0.634811701,0.986558874,0.927578353,-0.295692429,0.87077745,0.457025767,5.304176887,0.066166985,4.517486631,0.803857087,0.143683112,10.60835377,3.46792627,2.89770271,6.595728577,12764.05434,0.064997043,25.22520345,35167.27515,3.184504207,31.06972741,113.8937717,4188.40263,6.262079554,0.075033712,0.043734102,1.273420904,0.004905633,21357.84547,0.160150766,3.348673316,29.39405688,7.919120959,290.0053808,0.456691632,0.08124642,4.021464162,83386.26605,0.578593777,0.67629235,4.710544606,0.773657371,21.9541885,0.066670848,815.87078,0.13568448,5.496350789,31.31282222,840503.8658,30260042.8,32255.71722,0.130233205,1878.812074,0.312458353,0.577278935,18.23696015,0.079874922,5.5468303,0.030619364,839437.2508,312.0067902,5.22E-05,26.99265257,0.045943095,0.001801296
1004,Tomato_Septoria_leaf_spot1004.jpg,0.99934394,0.011023133,3.262156064,295.9372746,256.0078124,361.3322571,256.0078124,361.3377921,195542,295.743122,0.121064256,134574.1224,0.688210831,195649,48,198,4085864801,3.088244327,72,2.622238069,255,43.61497719,133.9367388,142,1,254,30.73700962,144.5117565,-0.456507696,4085864801,0.134360023,2944.597775,38.17129032,645.4368369,-35.5770816,14.59037966,3.90460196,0.576111056,1.470403444,2.223943462,1.685441323,0.532280281,0.477924368,0.970983367,0.891148439,-0.114054079,0.680318426,0.435826753,5.957998675,0.025396245,5.773031985,0.665743732,0.055758199,11.91599735,3.856199955,4.623745405,6.529912005,19024.94613,0.097240191,10.30583865,26287.40415,4.794469903,39.35630134,44.5172375,1680.022361,5.207099135,0.085498853,0.10026002,4.349055712,0.008341329,20965.00923,0.131923876,4.768286178,39.60884071,1.96182694,72.5364269,0.239135155,0.081397268,3.921894882,112118.2792,0.697342776,0.813498034,0.414294073,0.858782583,33.99874894,0.069714866,1871.575725,0.106200745,7.714474569,45.61067923,47912.28548,2057399.986,1699.553407,0.084921487,4837.279862,0.274486742,0.535632949,25.80001757,0.049269874,6.072739143,0.090074572,47789.03302,392.7756493,4.07E-05,47.69344395,0.093811094,0.001547384
1005,Tomato_Septoria_leaf_spot1005.jpg,0.999103211,0.011022048,3.263365042,296.0760991,256.0078124,361.3322571,256.0078124,361.3377921,195770.1667,295.8105814,0.121217151,134508.9114,0.687075634,195852,63,176,3512275938,2.773670822,51,3.424122401,255,34.11499578,126.4105243,133,1,254,22.41933592,133.915334,-0.693257326,3512275938,0.176853802,1953.696031,32.93003176,386.8520538,-24.94280995,10.1038646,2.005855148,0.666301033,0.976698889,1.815078349,1.009530328,0.637182405,0.605712038,0.984592841,0.924586757,-0.183698047,0.766515578,0.449087592,5.559252685,0.051821275,4.970783654,0.729823772,0.1083659,11.11850537,3.56742469,3.027429937,6.628472872,12908.65691,0.065910263,24.47957623,34637.1708,3.201677263,34.26016584,99.88763965,3284.781999,11.42657627,0.082414252,0.062024324,2.251002385,0.006142008,22852.33936,0.163914035,3.385432545,34.3180497,5.380398662,184.0364555,0.485565626,0.077903108,3.978930763,83476.62822,0.585040403,0.704469937,2.972717907,0.788896145,27.26738743,0.060163231,1126.508342,0.113216919,6.316184026,37.63005025,363024.0101,13028996.24,12355.66247,0.109015121,3037.300503,0.305256332,0.570076516,22.73605002,0.065701338,5.841505637,0.050803668,362636.5652,304.7705166,4.57E-05,35.96841844,0.042658028,0.002051609
1006,Tomato_Septoria_leaf_spot1006.jpg,0.999375829,0.01102569,3.263406649,295.9820759,256.0078124,361.3322571,256.0078124,361.3377921,195809.8333,295.7973324,0.121569387,134137.3009,0.685038635,195995,66,164,3390095205,2.449373864,39,3.946985101,255,27.75338725,126.2564708,134,1,254,17.64433193,131.5174717,-1.043833688,3390095205,0.228560052,1356.148927,32.19303226,136.4931244,-12.84062409,5.550723416,2.771948637,0.317761065,1.087779875,1.837387208,1.446511673,0.628142983,0.599720901,0.979495856,0.918646702,-0.142226325,0.607431331,0.46799943,5.61230006,0.076793983,4.47990895,0.505260173,0.142132702,11.22460012,3.085636646,2.080668013,6.259215117,15284.72436,0.077985277,18.6997052,44796.62745,2.256193334,33.32600321,93.86385877,3184.561698,3.963714601,0.059235264,0.050033042,1.780350983,0.004328717,29335.949,0.209172156,2.562483063,33.11998152,8.765508633,296.6578591,0.363898614,0.064784208,3.699492099,91264.38559,0.618263544,0.705010528,5.977190345,0.803363477,26.60313226,0.054210354,1186.708371,0.15259205,5.343447473,37.59071621,873553.0442,32436988.41,24862.85513,0.095629723,2314.090395,0.297555663,0.564274491,22.98425968,0.048031786,5.676989524,0.039679584,872917.9096,359.6160237,3.36E-05,45.61039015,0.035086725,0.00163225
1007,Tomato_Septoria_leaf_spot1007.jpg,0.999911755,0.01104006,3.265020789,295.7430212,256.0078124,361.3322571,256.0078124,361.3377921,196174,295.7169234,0.121987847,133842.8539,0.682266018,196373,48,172,3236841083,2.806474097,77,2.16127967,255,40.78348268,119.239483,134,1,254,31.51969464,128.3866306,-0.456917569,3236841083,0.166302856,2265.07261,30.79344063,291.9550807,-18.25174991,11.69904379,1.901640966,0.715831545,1.012037042,1.789559574,0.842921023,0.613577494,0.579443849,0.98509405,0.921009383,-0.237846097,0.847005383,0.480027154,5.323868857,0.050893325,4.901318256,0.803218397,0.112970837,10.64773771,3.553970285,3.40017119,6.46799125,14557.9599,0.074134224,18.66507318,32657.39069,3.693529576,31.69906759,77.52132421,2633.044079,5.460316758,0.079638817,0.070065539,2.371796808,0.00912685,22359.00142,0.153033311,3.878362092,31.24985461,2.820194047,89.11121838,0.225653239,0.083042913,3.897095038,93400.99801,0.624597813,0.74339297,0.873993215,0.813144467,25.00711162,0.070641638,1500.034276,0.13637915,6.902919532,36.72788435,346330.9798,12550283.42,15057.51263,0.149743168,3833.059096,0.348491599,0.612322402,23.43840109,0.098478042,5.398214395,0.056010755,346012.2247,312.6076394,4.74E-05,39.36600867,0.051635417,0.002068236
1008,Tomato_Septoria_leaf_spot1008.jpg,0.999940545,0.011047774,3.265899072,295.6160266,256.0078124,361.3322571,256.0078124,361.3377921,196335.8333,295.5984509,0.122306218,133567.8598,0.680303017,196587,62,163,2618937799,2.581294791,57,2.168232147,210,30.89399393,109.2778007,106,1,209,23.3794773,115.4210961,0.139567905,2618937799,0.183282931,1380.391708,25.95672059,111.0972765,6.325442494,6.87743219,1.713031764,0.591583957,0.928969378,1.651130018,0.718023289,0.646483876,0.612649368,0.980196032,0.913851369,-0.254337645,0.809543299,0.420134943,4.966176144,0.062473449,4.432174455,0.783264303,0.11525562,9.932352287,3.231438137,2.147615989,6.431540835,14512.24469,0.073820978,24.17377173,36031.0416,2.301141152,26.24775799,112.0004934,3525.890898,5.090546387,0.060379718,0.040480014,1.005491454,0.003567011,24384.42453,0.183724389,2.268877333,24.97573668,8.52238861,246.5033027,0.467670175,0.064559877,3.840164111,85360.12205,0.58140708,0.678015723,5.029650958,0.772595055,18.56110655,0.052712716,806.232312,0.149718164,4.122238309,25.70287837,1109031.287,27774436.65,56293.17046,0.106555083,1594.233426,0.296050776,0.557853229,14.80177042,0.062835915,5.396271842,0.027392452,1107698.57,592.1589959,4.07E-05,24.05182681,0.04660336,0.001127655
1009,Tomato_Septoria_leaf_spot1009.jpg,0.999925102,0.011045068,3.265549097,295.6567642,256.0078124,361.3322571,256.0078124,361.3377921,196258.1667,295.63462,0.122209021,133638.8366,0.680933889,196503,59,144,2688829355,2.105343269,29,3.80851801,208,22.33140432,113.1149499,120,1,207,14.21250131,116.9760704,-1.12500028,2688829355,0.291725421,888.4091516,26.13854774,62.85916098,-7.856726804,3.416840935,2.131780059,0.208137542,0.924347537,1.620493979,1.074444876,0.671913749,0.647332691,0.976718722,0.917132591,-0.21318232,0.651279624,0.423357108,5.080972457,0.134237638,3.707062711,0.522129299,0.218701049,10.16194491,2.59414718,1.387155249,5.821867969,18511.38173,0.094204067,21.90548633,57324.92037,1.491348972,26.83869966,129.5974769,3512.767739,6.265999869,0.058220877,0.025796905,0.699639424,0.00200795,33715.25684,0.26024199,1.726589021,26.49087076,27.54030098,806.5953813,1.16362434,0.063463066,3.664259184,80301.23052,0.548894701,0.639327879,20.99208838,0.740052469,19.74308404,0.04833967,622.4899506,0.205103773,3.189797665,29.06721582,3362371.665,99473236.21,122404.4716,0.087436848,683.583855,0.22523356,0.478913948,14.3938744,0.03986125,5.572273678,0.015445057,3358179.668,540.9810614,3.04E-05,26.44132858,0.030975483,0.000999563
