diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,scan_id,image_path
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},4d86c581168a035ae812c162b4fad40be8021f19,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",102.4629008,0,223,5d6e304fbdd7c56cc0fe62f0a257f8f34f6e9c3b,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195693,1,"(1.0035310409672293, 127.39173092548022, 127.5120878110101)","(1.0035310409672293, 127.39173092548022, 127.5120878110101)",0.999556088,0.011016094,3.262133072,296.1243081,256.0078124,361.3322571,256.0078124,361.3377921,195570.5,295.992855,0.12115569,134485.6277,0.687658045,195693,43,145,2355724814,2.517500304,54,2.624680668,223,31.06498582,102.9419857,112,1,222,22.67404041,109.717179,-0.692225575,2355724814,0.203563123,1440.80696,23.38517512,147.3250468,-13.59517232,7.591775702,1.303183708,0.703693909,0.766074049,1.596456279,0.694904112,0.689237824,0.668869575,0.984959501,0.927931109,-0.222468352,0.799287086,0.446332182,4.670405717,0.073128665,4.418958225,0.740129536,0.173089514,9.340811434,3.31979816,2.223739852,6.646734607,10974.7131,0.056081276,27.84250315,39835.8782,2.375061437,23.87534046,124.4606348,3346.416136,7.939447289,0.101929762,0.044533195,1.139205379,0.006244931,23623.54258,0.183029893,2.591366188,23.06165109,3.897234582,97.51759707,0.348590892,0.113951304,3.903725833,69275.59441,0.520414361,0.660405683,1.358763734,0.742523619,16.6074803,0.093604462,1332.800844,0.175784865,3.518860181,28.52413611,656465.6963,18227792.42,32812.25139,0.123923483,1672.05091,0.220529004,0.472788105,14.10885878,0.063579248,5.749465066,0.03874436,655799.5294,403.7453971,5.00E-05,20.28757592,0.039649328,0.001404023,1000,Yellow_leaf_1000.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},d8f984bc79ea1dd72ff96f1db38a70f9be72468d,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",93.00011698,0,222,43e8310a083401db857fe6c130cf6a744861d748,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",194748,1,"(1.0095508041160886, 127.41628668843839, 127.68087990634051)","(1.0095508041160886, 127.41628668843839, 127.68087990634051)",0.999645607,0.010987008,3.257936713,296.5262781,256.0078124,361.3322571,256.0078124,361.3377921,194537.1667,296.4211912,0.120648327,134575.0481,0.691770372,194748,40,136,1977789683,2.416165649,32,3.768883073,222,25.9342223,93.88834288,95,1,221,14.78874171,100.7751725,-0.216964875,1977789683,0.24795418,1340.614471,19.80207387,136.705858,3.691545425,5.454178337,3.050928003,0.282788427,0.839920631,1.606463588,2.127631875,0.775762842,0.750541987,0.970538227,0.931912798,-0.390896586,0.880542735,0.187428908,4.381217079,0.159135141,3.891436888,0.779445826,0.322807232,8.762434157,2.811301234,2.126276585,5.652052737,25240.00674,0.129603419,48.97365598,48288.58062,2.150141433,20.22634892,256.4452934,5057.382345,18.72239356,0.126509981,0.012524982,0.255418278,0.002240352,16857.60425,0.176507447,3.012972874,20.88616155,63.24303154,1225.952681,5.555094876,0.157175999,4.521266876,45651.37412,0.397870129,0.484466316,45.28306831,0.588592723,12.23116756,0.114687567,94.75,0.151842949,3.678244165,22.04166667,13711828.39,255392772.1,917374.1548,0.142355233,52.20833333,0.083667201,0.267416377,5.485406614,0.034042327,6.969875155,0.003204141,13614424.38,382.083747,6.04E-05,22.47665169,0.041385507,0.001250762,1001,Yellow_leaf_1001.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},e96486b015d441530e085eb4daef325535835ee6,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",139.698583,0,255,48d65c1d389c9cbcbca30d86dd02e84030a6a518,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195647,1,"(1.0049119076704474, 127.36910864976207, 127.4395109559564)","(1.0049119076704474, 127.36910864976207, 127.4395109559564)",0.999497871,0.011019987,3.261904726,295.9989692,256.0078124,361.3322571,256.0078124,361.3377921,195426.1667,295.8503395,0.12141294,134134.6427,0.686369922,195647,43,198,4525923155,2.960487486,87,2.450774676,255,48.85617982,140.3847695,160,1,254,36.35303007,152.0957194,-0.762918412,4525923155,0.158845716,3425.224358,42.98775045,824.7179377,-56.98334885,18.02787561,2.96407613,0.713269715,0.931488631,1.752725385,1.875499668,0.729362463,0.701327007,0.978701678,0.933358586,-0.354829668,0.890659478,0.258814107,6.262105187,0.079947033,4.845909944,0.767280466,0.211390495,12.52421037,3.700016487,5.247987935,6.754849921,16142.44946,0.082508035,45.08458945,31077.68776,5.469544953,42.96245278,207.4917326,10342.99504,11.48808999,0.091946,0.018049301,0.616716063,0.002133856,13744.03496,0.127928414,5.768417153,39.05786149,27.21612612,1391.986428,1.724101405,0.106099049,4.764278931,55554.90878,0.446661359,0.548311303,18.7193919,0.653298999,23.46009312,0.081512154,128.3521368,0.109702681,6.087606107,36.32820513,3776643.45,210132759,112561.5033,0.104571488,112.4495726,0.096110746,0.293338275,10.44903434,0.033323423,7.413420535,0.005980158,3748681.036,214.7301162,6.01E-05,34.91579426,0.075106633,0.002305487,1002,Yellow_leaf_1002.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},78afa8d9641463dd4a150152ab58ebef8259fe90,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",109.078832,0,231,65314b99bbdb67ab3b92ca1dc25e0d92fbb8644d,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195947,1,"(1.002526193307374, 127.48155878885618, 127.5166346001725)","(1.002526193307374, 127.48155878885618, 127.5166346001725)",0.999686157,0.011025316,3.263214704,295.974722,256.0078124,361.3322571,256.0078124,361.3377921,195814.8333,295.8818324,0.121422867,134301.4491,0.685859425,195947,39,160,2754946423,2.739683784,73,2.141063726,231,39.12107903,109.4467943,119,1,230,30.83424798,118.573399,-0.516181418,2754946423,0.165513276,2081.050162,26.75837074,291.2037651,-19.5863316,11.74850479,1.243602318,0.807479851,0.76922676,1.578662311,0.634771304,0.682128763,0.66169403,0.98814525,0.933475897,-0.280843501,0.876985125,0.462608095,4.912443175,0.056377932,4.676271923,0.830126086,0.121193497,9.82488635,3.573237993,3.248026776,6.792782835,12066.18751,0.061578833,23.75879617,32431.82995,3.413176486,27.40635988,114.7153516,3690.086819,9.675001973,0.108090033,0.042192429,1.181859654,0.006229607,20505.76632,0.155894578,3.443485047,26.11693668,4.256331173,134.6340776,0.404700526,0.115315928,4.061493619,70944.78027,0.525135626,0.671649437,1.797509191,0.747286049,18.90968275,0.092671741,862.5636364,0.13069146,5.132574633,30.1219697,708379.4529,24331677.67,33844.70533,0.144564689,1595.474242,0.241738522,0.48461888,15.79781,0.076917888,5.743606944,0.033682577,707498.0198,313.6877488,5.61E-05,25.45957735,0.045536631,0.002044421,1003,Yellow_leaf_1003.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},11c8821b334190a3e6aebcd6892e515201493208,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",101.0233866,0,229,0801192302c4d3f0e3f41aec8c609b7e0119ec17,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195315,1,"(1.006261679850498, 127.44246473645137, 127.63355605048255)","(1.006261679850498, 127.44246473645137, 127.63355605048255)",0.999731437,0.011000895,3.260471691,296.3824042,256.0078124,361.3322571,256.0078124,361.3377921,195228.5,296.3028068,0.12070481,134830.567,0.690629529,195315,37,158,2413978824,2.831927151,71,2.142824263,229,37.89978694,101.6921691,105,1,228,29.02232369,111.1728986,-0.222121569,2413978824,0.150625383,2018.11613,23.55313842,260.413225,-8.936046918,10.97782097,1.761084432,0.722269128,0.936111027,1.758170938,0.854520493,0.639969109,0.611042923,0.983503924,0.920688769,-0.208682963,0.810723713,0.468844288,4.609652514,0.039135661,5.031504611,0.73812605,0.076181062,9.219305028,3.678840008,3.18472635,6.741704076,13678.86452,0.07003489,17.05397126,29419.39676,3.305971079,24.35584569,87.87371682,2046.901774,11.70885846,0.119762841,0.050095881,1.461653606,0.006119611,21027.23515,0.15124376,3.268885365,24.76282549,3.397652973,70.78665287,0.517660497,0.116305468,3.984023977,81402.90389,0.569923519,0.714790506,1.278004404,0.777306082,19.29016363,0.092462283,1073.301783,0.133844841,4.964154049,31.17308891,374800.4368,9815720.857,28952.16424,0.113121827,1943.886145,0.242410044,0.482906829,16.64423583,0.05932882,5.794025508,0.041056754,374207.1964,422.8680602,5.13E-05,29.03277324,0.051348016,0.001814879,1004,Yellow_leaf_1004.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},9dcbab38baf705ef00b4b48c198c7b81596ff7e6,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",113.0686595,0,248,a5aa74720d13e00bcd414a4213dc76603ef9f54e,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195137,1,"(1.0075382936091053, 127.63903821417773, 127.39553749417077)","(1.0075382936091053, 127.63903821417773, 127.39553749417077)",0.996703872,0.010990865,3.259672271,296.5801279,256.0078124,361.3322571,256.0078124,361.3377921,194937.5,295.6025619,0.120877543,134504.0713,0.689985617,195137,52,162,2897374651,2.755502852,53,3.067229421,248,34.20321736,113.9210042,115,1,247,23.39887309,121.8519591,-0.330086102,2897374651,0.181199239,1869.90474,28.30279621,231.1282976,-3.02182445,8.321229636,3.366442629,0.423864022,1.020469677,1.801539665,2.034470956,0.714914219,0.683093268,0.971494059,0.92204347,-0.313105578,0.832109523,0.247696517,5.201421581,0.086336155,4.647327517,0.705015827,0.214252764,10.40284316,3.342695682,2.921918066,6.512828495,16434.52946,0.084220468,45.06479962,35358.67587,2.961035429,28.39624981,201.816452,5855.474057,10.98208009,0.089817341,0.018317207,0.483672295,0.002370404,16237.94429,0.150040048,3.596363225,27.85250422,26.2523985,807.0395574,1.619157552,0.106876072,4.565957405,59476.69182,0.464183475,0.556921153,17.54483242,0.661036276,18.23047222,0.081010071,157.6639807,0.127045915,4.948334536,26.74617244,4464995.707,131888220.8,184403.3266,0.136884558,157.9572925,0.127282266,0.345259414,8.727677834,0.046612612,6.966865553,0.006359635,4440270.743,373.9540959,4.93E-05,31.91159588,0.054839003,0.001404372,1005,Yellow_leaf_1005.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},f9b987433d739bdd04ddec500ec5ad43a6b87805,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",128.4796753,0,255,eb946ab965223381f467ffd8bd308ffac79418e7,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",196254,1,"(1.0017222578902851, 127.47540432296921, 127.4624109572289)","(1.0017222578902851, 127.47540432296921, 127.4624109572289)",0.999630892,0.011036483,3.264505157,295.7921648,256.0078124,361.3322571,256.0078124,361.3377921,196047.1667,295.6829854,0.121871459,133912.9243,0.683064829,196254,49,177,3704655544,2.690582275,70,2.614490242,255,40.02602178,128.711425,146,1,254,29.50447298,137.3930164,-0.863670246,3704655544,0.191839854,2310.210028,35.39156584,452.3061392,-41.23390166,13.00917146,1.268938799,0.819370553,0.694313562,1.526834592,0.730256349,0.725243461,0.707214929,0.990095952,0.945531933,-0.326050996,0.882189379,0.390638257,5.697022719,0.087980358,4.439068783,0.835515003,0.231811781,11.39404544,3.466280043,3.569527564,6.827676818,10633.99811,0.054184873,33.80529084,37649.33879,3.767954444,35.86757467,166.4074618,6517.151819,8.836527634,0.080583416,0.028803932,0.911772828,0.00347322,18672.76961,0.158165504,4.100050871,33.92901292,12.92606423,541.6690953,0.766439982,0.092464527,4.342477948,59153.59148,0.464951461,0.595565323,8.323264079,0.69505457,22.83134752,0.072443418,446.1519435,0.13137572,5.422793878,33.69787986,1799674.094,80849358.77,51324.16921,0.132560057,784.1372203,0.230900242,0.48775118,16.87000267,0.065390691,6.075068464,0.017304106,1796334.438,201.9814527,6.12E-05,28.74080566,0.03766999,0.002829652,1006,Yellow_leaf_1006.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},aa5e4634ca74a87fc4549e4ffca84e39a8b5e71b,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",102.3126017,0,255,3ee8868ec26a7091e816e82992b8d5316e6f4a7e,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195530,1,"(1.0051449905385363, 127.48703523755945, 127.69187848412008)","(1.0051449905385363, 127.48703523755945, 127.69187848412008)",0.999663166,0.011013474,3.261402121,296.1283694,256.0078124,361.3322571,256.0078124,361.3377921,195384.5,296.0286233,0.121057067,134509.8373,0.688436582,195530,35,153,2471054972,2.720001573,73,2.155965335,255,38.79714171,102.8766737,118,1,254,29.84135899,112.4176502,-0.462855145,2471054972,0.177028471,2054.1181,24.52041052,268.2508179,-20.67723626,10.92532254,2.120768535,0.672283893,0.975710102,1.819301559,1.068995244,0.651289127,0.619348301,0.983675298,0.925380035,-0.219293901,0.787176752,0.410982312,4.723999146,0.058734496,4.822955122,0.730796223,0.161133706,9.447998293,3.471373458,3.261522769,6.660467135,13260.65813,0.067819046,26.47863662,34614.37689,3.373415198,24.85718304,114.8807549,2907.288636,13.04436486,0.127614915,0.038367169,1.077985818,0.005131861,21335.51193,0.162520869,3.405391981,25.01728615,5.586144929,126.4372879,0.920845665,0.127523606,4.023400325,79234.87579,0.56321648,0.676836921,2.776514505,0.767310861,18.91941758,0.104490774,762.7766635,0.147112182,4.963532109,32.58225651,847200.7209,26312091.35,39968.07275,0.119815026,1063.030473,0.205020342,0.449997228,15.83230798,0.058836457,6.101029047,0.02651767,845778.6237,341.6254101,4.67E-05,41.84912794,0.046621631,0.002255348,1007,Yellow_leaf_1007.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},0c547fc8f7ada96a25c0c029bbb97f075c6e7a5c,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",117.1020253,0,213,c0a4d1e7eba1029e46b55d5b83f220653804ce5d,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195925,1,"(1.0034860278167665, 127.5390634171239, 127.44750287099656)","(1.0034860278167665, 127.5390634171239, 127.44750287099656)",0.999284072,0.011026405,3.263107025,295.9357088,256.0078124,361.3322571,256.0078124,361.3377921,195692.1667,295.7238401,0.121643719,134001.6248,0.684757224,195925,50,151,3004337777,2.397038563,41,3.575897757,213,30.05411192,117.5102463,129,1,212,19.03666637,123.8310204,-1.142871574,3004337777,0.260142493,1525.463635,29.6715221,211.2943796,-21.05156283,7.159549066,2.311410279,0.499879409,0.818304385,1.656980415,1.483596133,0.7462715,0.720235762,0.975722296,0.929672943,-0.272506707,0.756288645,0.255695569,5.334174444,0.14585747,4.06626358,0.635241162,0.346340279,10.66834889,3.046340758,2.367739836,6.225814609,14879.59821,0.075945378,44.56211861,50968.41802,2.527975953,29.71436009,216.4379992,7336.047069,12.20436313,0.086212103,0.016783035,0.396911282,0.002301169,20237.59869,0.190570021,2.996375737,27.1028073,24.66781181,809.9683403,1.553688768,0.104327949,4.344250367,51539.36059,0.4228585,0.534225224,14.82819902,0.627740276,15.47828116,0.076352761,131.5035678,0.134050528,4.731066616,23.91743119,9109376.617,312946239.2,290197.8175,0.1852681,88.82466871,0.090545024,0.279294199,7.02277783,0.042163665,7.206494227,0.005007018,9069488.669,354.8970454,4.74E-05,21.21664725,0.04680084,0.001273776,1008,Yellow_leaf_1008.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},fd898033880b5314934bfc943bd2064f6e93168e,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",88.61235046,0,205,deb22bd9e4a34ac2144e57bf1091fc0a6b71ebb0,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195166,1,"(1.0073885820276072, 127.37987661785353, 127.40928235450846)","(1.0073885820276072, 127.37987661785353, 127.40928235450846)",0.999712569,0.011003841,3.259803724,296.242352,256.0078124,361.3322571,256.0078124,361.3377921,194966.1667,296.1572028,0.120903662,134488.1966,0.689802743,195166,30,124,1766438671,2.236687413,27,3.70199959,205,23.69830561,89.26707008,94,1,204,14.02750402,95.13650685,-0.835022727,1766438671,0.270785639,1082.345134,17.99760565,69.52054429,-3.561880883,3.912384489,2.918249245,0.132294305,0.928962417,1.698389994,1.797108085,0.736740602,0.705312593,0.969820268,0.922283289,-0.306539992,0.782776918,0.216494865,4.212049648,0.148076925,3.760511971,0.67872279,0.30853351,8.424099295,2.653387032,1.707658433,5.680202558,21116.1642,0.108195916,47.4159,52848.14999,1.791820835,18.3740918,223.5707039,4260.436295,17.70064807,0.143202159,0.015801224,0.280385376,0.002970158,21708.04811,0.210838744,2.305871302,18.19175568,42.0493682,750.9503794,4.811482869,0.170678829,4.172463878,55753.38133,0.44917124,0.52798722,29.10396946,0.640163203,11.2666878,0.131911663,181.4272388,0.169241827,2.904209422,20.43936567,7714152.455,138575867.7,569601.7884,0.13229549,131.75,0.122901119,0.333956072,6.788524389,0.045857164,6.573622099,0.00549276,7681007.4,514.097824,4.15E-05,28.75562883,0.038180861,0.001120479,1009,Yellow_leaf_1009.jpg
