diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,scan_id,image_path
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},dc23ec5e1a77d0c95cb69ac0412bf3c0ff5425fd,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",123.34608459999998,0,255,b0eef1d3cfe625babcde0dbe04eb36a556372016,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195573,1,"(1.004458693173393, 127.56059374249001, 127.5659881476482)","(1.004458693173393, 127.56059374249001, 127.5659881476482)",0.9992449390000001,0.011011238000000001,3.261674777,296.21326919999996,256.0078124,361.33225710000005,256.0078124,361.3377921,195498.3333,295.9896102,0.120923208,134711.0338,0.6890648709999999,195573,45,179,3472961165,2.8891618130000003,67,2.547729518,255,39.81219467,123.9988495,133,1,254,28.89195963,133.25868229999998,-0.600741896,3472961165,0.153420586,2382.161734,32.97538308,438.56162,-30.08755013,12.89885223,1.965397766,0.734609611,1.0086193540000001,1.8193407480000001,0.9258585309999999,0.618159978,0.585799894,0.9847250740000001,0.9216064409999999,-0.199036988,0.811246314,0.48204819,5.499271112000001,0.039550806,5.157215586,0.7559305609999999,0.096078447,10.99854222,3.724481315,3.7160624980000003,6.659627242999999,14618.22511,0.07474562,15.40772572,30004.924260000003,3.889565615,33.91856238,73.84948331,2635.205509,6.408454977999999,0.089473552,0.063836086,2.3421557,0.006785251,21503.44804,0.147809982,3.93768123,33.59765934,2.4901480719999998,84.89228374,0.238458267,0.090577811,3.9805924089999998,88341.80162,0.599029584,0.744433812,0.6173345610000001,0.7985220909999999,26.61805056,0.074226235,1322.3310060000001,0.12477175,5.8927660170000005,38.70994527,276752.5464,11562026.63,9283.891988,0.10517866,2870.593697,0.27086183199999997,0.527793425,21.93293225,0.056523877,5.8023158960000005,0.054189484,276412.005,296.9735223,4.94e-05,37.19462023,0.053079455,0.002122228,1193,Yellow_leaf_1193.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},9925bf7e932a8107ee9878c85034c2f98c76d46a,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",94.85565186,0,224,ad7a277b576b4150db8bfb8c3089b4314e9b28f4,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",196319,1,"(1.0014720938880088, 127.57343405375944, 127.42280166463766)","(1.0014720938880088, 127.57343405375944, 127.42280166463766)",0.9991774259999999,0.011038534,3.264773721,295.76152210000004,256.0078124,361.33225710000005,256.0078124,361.3377921,196082.1667,295.5182364,0.12201829,133767.6987,0.682202268,196319,49,134,1962377484,2.364594619,30,3.4280919119999997,224,22.86467148,94.99528828,97,1,223,14.34984602,99.97930409,-0.269452779,1962377484,0.23650874800000002,971.7564507000001,20.19150659,76.88562683,-0.7796565459999999,4.526316634,2.002056874,0.38325183799999996,0.816618162,1.640215879,1.175963011,0.732999524,0.702831104,0.977941187,0.9279645409999999,-0.26471027199999997,0.746952376,0.258982396,4.422022925,0.11029872199999999,4.084638251,0.617453434,0.232809552,8.84404585,2.93023161,1.632093377,6.253562817000001,15979.58661,0.081396027,45.7368473,46431.160910000006,1.6576432,20.17679899,208.5490605,4432.076391,13.23778629,0.090153496,0.018925112,0.36166824799999997,0.002572858,21995.87213,0.20361505100000002,2.019420265,19.72817985,28.32257326,568.5052308999999,1.960134413,0.104751569,4.190247558,57657.62206,0.458930984,0.547700426,19.72739729,0.659023925,12.61566738,0.077219229,243.0332739,0.144404797,3.747650212,20.77124183,4587835.406,90147810.2,263226.1309,0.1781924,221.62745099999998,0.131685948,0.35169328,7.325058392000001,0.066241617,6.690598831,0.008572782,4574228.593,503.8352863,4.39e-05,22.91347272,0.030465467000000003,0.001220804,1085,Yellow_leaf_1085.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},c1f1c169a0e6f10e7294b4c3c42ab6f4cce0e12e,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",121.8358816,0,219,781d949e46820eac66c062be469b57e80f039dbf,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",196251,1,"(1.0018190990109606, 127.49864714065151, 127.49977324956306)","(1.0018190990109606, 127.49864714065151, 127.49977324956306)",0.9996529259999999,0.01103454,3.264492587,295.84309460000003,256.0078124,361.33225710000005,256.0078124,361.3377921,196008.1667,295.7404152,0.121985972,133769.4711,0.682468865,196251,69,148,3142344357,2.008591875,17,5.2653838230000005,219,22.52912548,122.05751310000001,130,1,218,10.05050591,126.537995,-1.296754658,3142344357,0.390336763,1113.827679,31.80419384,144.9372121,-13.95549102,4.72021145,2.385891327,0.310538035,0.715595675,1.47499735,1.728384799,0.801586328,0.77918343,0.97596809,0.9408794509999999,-0.34028089100000003,0.8038158059999999,0.16957641199999998,5.587085257000001,0.294538313,3.2957583130000003,0.73725449,0.529680215,11.17417051,2.409659228,1.776525694,5.126455706000001,27967.926560000004,0.142511002,50.67358427,76603.98002999999,1.8935063030000001,31.91070109,278.9925198,9577.863007,10.32259047,0.062721532,0.01336792,0.361587263,0.0014309879999999998,21248.94142,0.22472731199999998,2.817798508,29.49255632,66.89297159,2316.321417,2.4918624769999997,0.085848791,4.298213989,40049.31084,0.37464254799999996,0.457298993,49.59311187,0.569575991,15.68694579,0.060226424,269.4109331,0.253921709,3.225959185,26.51272385,13581944.72,482440004.2,398903.6401,0.10606509800000001,135.68614509999998,0.127885151,0.341670485,8.903821281,0.033654117000000004,6.367117651,0.005406342,13547731.58,240.16422630000002,6.0599999999999996e-05,17.44167269,0.030769400000000002,0.001378053,1198,Yellow_leaf_1198.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},03011d80ecb603391eb27a3de9ef746bf3a30bb4,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",126.4096629,0,236,03093582dfa8e8eb413022371e502b62fe84c864,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",196239,1,"(1.0018803601730544, 127.54133480093152, 127.59808702653397)","(1.0018803601730544, 127.54133480093152, 127.59808702653397)",0.999238491,0.011034225,3.264436887,295.8464998,256.0078124,361.33225710000005,256.0078124,361.3377921,195997.5,295.6212099,0.121970446,133781.646,0.6825681240000001,196239,68,155,3406696851,1.868406814,13,5.579217293999999,236,23.46582581,126.64735859999999,135,1,235,9.065266718,131.757117,-1.397514805,3406696851,0.46161031799999996,1320.384452,33.26504948,166.56434309999997,-13.25376185,4.706617657,3.164289076,0.167840247,0.767909614,1.4037271119999999,2.370728808,0.8175760590000001,0.795237045,0.9748519790000001,0.9445542920000001,-0.409565341,0.8386520129999999,0.12221203900000001,5.733511977,0.38818109700000003,2.9298467269999997,0.802993435,0.617754001,11.46702395,2.124391155,1.9677266830000002,4.352086945,39664.51424,0.20212350399999998,49.95312726,90585.9471,2.128118739,33.62476368,303.8871835,10826.91161,11.14031462,0.068565679,0.01030903,0.30148659699999997,0.001241277,21039.7227,0.22780215899999998,3.4732006380000002,31.38938884,187.3638415,6667.934308,6.831176094,0.09895198300000001,4.359073424,37757.37913,0.36149644299999995,0.42556505899999997,149.37984709999998,0.525056417,15.31937823,0.068375695,104.7369439,0.202585965,4.282510691000001,28.53384913,33864064.97,1212631410.0,1001378.9090000001,0.131105693,69.95551257,0.13531046900000002,0.36492669200000005,10.26627915,0.046259945999999996,6.275319929,0.002634543,33719989.66,175.41065,6.94e-05,24.60813102,0.029856535,0.001677388,1158,Yellow_leaf_1158.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},596dc7f407f92aa483058d592b621bb7b809bad5,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",125.5575104,0,237,e42ffb74f33563bf294f76e2717b9f9102558a83,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",196350,1,"(1.0013139801375095, 127.57159663865546, 127.49596129360835)","(1.0013139801375095, 127.57159663865546, 127.49596129360835)",0.9996705859999999,0.011038837,3.2649067439999997,295.7654568,256.0078124,361.33225710000005,256.0078124,361.3377921,196104.8333,295.6680275,0.122087495,133702.1758,0.681789293,196350,56,196,3582009459,2.912458922,55,2.7002500869999997,237,38.05255444,125.7224905,131,1,236,25.57950423,135.06658249999998,-0.117798998,3582009459,0.164717639,2436.837106,34.46603827,381.80924980000003,0.26043710000000003,10.88155811,4.890197635,0.378377244,1.1300003509999998,1.726237764,3.156338242,0.736067012,0.7084143759999999,0.961814093,0.919454927,-0.42720959999999997,0.920342,0.20679356699999998,5.740569197,0.095627481,4.58363525,0.805354769,0.248037626,11.48113839,3.388432407,3.9429389360000004,6.060301752999999,27670.48021,0.140924269,42.03887231,32342.3085,3.957830967,34.85059333,228.1507207,7864.152136,10.74051442,0.073545847,0.011946563,0.392104612,0.00122827,12979.9645,0.128008815,4.796381935,34.52803607,87.03689117,3041.727275,4.171425215,0.08853633400000001,4.985821634,52353.61515,0.408842162,0.513758398,61.82530493,0.593206107,20.19151227,0.061445098,65.61187215,0.149798795,5.026062843,27.14611872,12877586.72,440372148.7,520755.4618,0.130641106,37.60730594,0.085861429,0.27590589,7.481548497,0.029357904,6.939414316000001,0.00223071,12676624.89,344.484333,5.550000000000001e-05,32.42969122,0.081966307,0.001334649,1163,Yellow_leaf_1163.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},fc5cb26e9f9e1e71040eb12428c97bb0dbcb58be,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",120.8029022,0,246,3dd442c7bab921ff70c1cab63e145d74014bf012,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195496,1,"(1.005688095920121, 127.37994639276506, 127.63802328436387)","(1.005688095920121, 127.37994639276506, 127.63802328436387)",0.9994971559999999,0.01101602,3.261244169,296.04558619999995,256.0078124,361.33225710000005,256.0078124,361.3377921,195275.5,295.8967215,0.121286613,134205.3297,0.687261483,195496,50,166,3274510693,2.650091213,56,2.9820873480000003,246,35.41226892,121.49004070000001,126,1,245,25.32402222,129.4208562,-0.7326491620000001,3274510693,0.19830077899999998,1989.9280219999998,32.18464608,302.8090801,-19.47827936,10.329511300000002,2.023707193,0.667842423,0.6871351290000001,1.483617714,1.4252670680000001,0.793251312,0.771283026,0.982414061,0.946174923,-0.41391473799999995,0.910195346,0.198566209,5.486713931000001,0.124803068,4.174922268,0.8221775,0.262668267,10.97342786,3.24201421,3.0883046239999996,5.990098503,25522.92602,0.13055472199999998,49.70729335,38767.00918,3.219510415,32.17880161,264.838411,9499.939031999998,12.7924209,0.084374054,0.013158326000000001,0.347912723,0.001771068,14355.14461,0.15428402,3.749846943,28.9189593,74.69883789,2985.592369,3.1139337360000003,0.109924743,4.663630685,42846.74062,0.38959082100000003,0.47433274299999995,59.85938603,0.586061607,15.71092391,0.079338184,140.2922705,0.16943510899999997,4.482263297,27.26328502,7817952.227000001,296299110.0,268990.0103,0.147658209,95.80434783,0.115705734,0.328568347,8.209401167000001,0.046942029,6.7194310129999995,0.004235381,7762206.052,218.0141525,7.06e-05,22.2937522,0.040264348,0.0020874979999999997,1147,Yellow_leaf_1147.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},a448f50203eddc9e9aeb94617ca5ab73e644fcd7,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",102.7120616,0,211,24d243625bcb49db5f43fe5959c6c177daf50b51,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",196146,1,"(1.0023553883331804, 127.51170046801872, 127.40144586175605)","(1.0023553883331804, 127.51170046801872, 127.40144586175605)",0.999799797,0.011032701,3.264044557,295.8518209,256.0078124,361.33225710000005,256.0078124,361.3377921,195912.5,295.79259049999996,0.121865509,133858.1285,0.68325466,196146,50,153,2416332127,2.6534601330000003,77,1.883235854,211,36.66810077,102.95398840000001,103,1,210,30.24930941,110.99121000000001,-0.19293007,2416332127,0.171513639,1719.5249850000002,24.63092765,173.0150052,-1.428811759,9.612944287000001,1.86837032,0.671711598,0.698973695,1.515344491,1.260144954,0.778577647,0.755452743,0.9799601520000001,0.9393056359999999,-0.37974585299999997,0.891653299,0.223274445,4.763439297,0.086262865,4.268104443,0.7704582179999999,0.149127966,9.526878594,3.294727457,2.870328652,6.4707769520000005,19260.32879,0.098193839,47.53783172,33641.71418,2.9449082460000002,24.67546114,246.91460440000003,6744.830081,15.9242182,0.0932364,0.015255831000000001,0.30841536399999997,0.002248135,15509.46185,0.159990192,2.99676194,22.61995109,40.56001373,1168.752012,2.7362987999999997,0.11405134800000001,4.607123955,44622.15513,0.391907348,0.495381384,28.21211361,0.600900984,12.64721938,0.080347549,171.69602030000001,0.14538189699999998,3.789661455,19.93903472,4320523.246,115679763.3,267050.4223,0.174802631,156.9305673,0.13287939699999998,0.347832993,6.2959822889999995,0.057535012,6.608581351000001,0.006021025,4292939.127,394.620424,6.07e-05,18.90098278,0.046732798,0.001562351,1031,Yellow_leaf_1031.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},8f1fc283fb1231e0bf20f85e65be0e3d40eff728,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",108.83321129999999,0,255,4e7169b2241fc8f0cd5256337549d793782608d0,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195333,1,"(1.0063327753119033, 127.3843334203642, 127.50647867999774)","(1.0063327753119033, 127.3843334203642, 127.50647867999774)",0.999380776,0.011010701000000001,3.260548042,296.1253783,256.0078124,361.33225710000005,256.0078124,361.3377921,195270.8333,295.94201019999997,0.120670736,134888.1345,0.6907746140000001,195333,36,163,2805487124,2.7646091289999997,83,1.9964432380000001,255,42.32653077,109.5435999,126,1,254,33.61143736,119.8440094,-0.502185446,2805487124,0.167323478,2362.786298,27.442161900000002,314.6098182,-22.70289347,12.44927149,2.027888597,0.716284033,0.982107505,1.817149609,1.004062748,0.63768814,0.606902807,0.984335017,0.924283739,-0.21219777199999998,0.799992705,0.451065999,4.983438071,0.052836149000000006,4.8735410560000005,0.747884515,0.124228282,9.966876141,3.561751538,3.6192900210000003,6.539309871,12937.973559999999,0.066235473,19.4334645,32683.796939999997,3.8426030589999995,27.88800152,93.60946179,2839.2314920000003,8.756729242999999,0.116917622,0.051523293,1.4157956230000002,0.008323612,21287.27537,0.15435765199999998,3.873839793,27.23708903,3.697850883,98.03209334,0.520505451,0.122551616,3.985913221,81062.07826000001,0.566642604,0.7072096609999999,1.4188987730000002,0.774561297,20.43905168,0.102860361,1160.13727,0.152248986,5.849964849,31.52506562,460148.98600000003,16478415.3,19539.157890000002,0.162875685,2201.815223,0.288952129,0.551945737,17.56238929,0.094729436,5.5740022620000005,0.039010305,459491.8711,321.22411560000006,4.7600000000000005e-05,40.98338915,0.05185255,0.002283087,1029,Yellow_leaf_1029.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},dcb297fed2ed4f184db231a43407bc5ec7ebd615,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",94.14646403,0,211,ca9920e79f7b5d4889fd582b61bdb840da39b2ee,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",195364,1,"(1.0063676009909708, 127.4095227370447, 127.61295837513565)","(1.0063676009909708, 127.4095227370447, 127.61295837513565)",0.997299662,0.01100208,3.260674045,296.36888210000006,256.0078124,361.33225710000005,256.0078124,361.3377921,195154.1667,295.5685858,0.12107586099999999,134383.2406,0.6886004170000001,195364,40,147,2047081992,2.659308529,51,2.585895764,211,31.33280892,94.74595115,93,1,210,22.77404473,102.3635525,-0.11635732,2047081992,0.18016368600000002,1501.501623,20.98038066,146.94835759999998,0.9788215490000001,7.346051902999999,2.275952942,0.5245073889999999,0.817799754,1.648330905,1.442642873,0.747890308,0.7203502890000001,0.975792542,0.92961332,-0.32541842600000004,0.847329034,0.240872717,4.439301774,0.084123827,4.433796903999999,0.7064907359999999,0.193569955,8.878603548,3.2777151360000003,2.405501211,6.479376452,17734.54103,0.090776914,47.173261600000004,35197.49827,2.459999894,21.14047112,222.8425298,5098.837621,15.7655167,0.116997348,0.016719976,0.312027073,0.002977149,16768.206830000003,0.162581166,2.844687786,20.04244254,31.67443166,716.6462333,2.426061865,0.142772525,4.496264387,52073.017569999996,0.43149463,0.528691216,22.48061507,0.637174538,12.15351067,0.106323893,173.5526971,0.144027135,4.194325855,19.74605809,3812273.8619999997,81338340.1,252239.5602,0.20448745699999998,138.153527,0.11465023,0.322192045,6.015187181,0.068561546,6.8721984979999995,0.0061679740000000005,3785988.438,488.011013,5.429999999999999e-05,22.06912943,0.045298190999999995,0.001332378,1014,Yellow_leaf_1014.jpg
v3.0,1.18.1,1.2.4,1.0.0,3.7.6,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'verbose': False}",{'Original': {}},9d646a9472b20bd9253b65bf5895964949503d6a,3D,"(1.0, 1.0, 1.0)","(3, 256, 256)",106.5206706,0,197,7998a7b64b195d59e41c25393308ebfc1a269db9,"(1.0, 1.0, 1.0)","(3, 256, 256)","(0, 0, 0, 3, 256, 256)",196246,1,"(1.0018446235846845, 127.52595721696238, 127.51186266216891)","(1.0018446235846845, 127.52595721696238, 127.51186266216891)",0.9996173709999999,0.011036374,3.2644711419999997,295.7919915,256.0078124,361.33225710000005,256.0078124,361.3377921,196009.5,295.67881289999997,0.121945623,133814.3395,0.682693132,196246,49,138,2468005574,2.264071039,34,3.655912476,197,26.42409252,106.7171611,117,1,196,16.63221368,112.14312690000001,-1.118338357,2468005574,0.268065481,1187.528432,24.83443912,144.4828341,-16.53096703,5.85520094,1.7389585459999999,0.5336416270000001,0.693446343,1.529438039,1.152574253,0.7720591309999999,0.7485943909999999,0.976761123,0.9330219540000001,-0.303245981,0.8008096490000001,0.237978152,4.878683063,0.153838111,3.804048265,0.667680941,0.30422036199999997,9.757366126,2.849239248,1.898539872,6.059111688,16552.4183,0.084345252,47.49478443,52606.778439999995,1.991431274,24.89730746,238.05901780000002,6596.336827,14.143580199999999,0.0920674,0.016395614,0.35542555,0.002168474,20524.9755,0.203980745,2.46476869,23.0233232,36.09014388,1061.254536,2.039776299,0.111784785,4.269189031,45741.92892,0.39853865200000005,0.507519213,26.43852097,0.611533445,13.12716013,0.080535756,224.112865,0.17688466100000003,3.743568915,24.93843725,7068805.88,197206794.6,279567.0431,0.14203431,156.4617206,0.123489914,0.341764447,8.171647562999999,0.048047165999999995,6.695549724,0.006456183000000001,7044814.877,404.29501580000004,5.3400000000000004e-05,13.54613331,0.039967627,0.00106248,1172,Yellow_leaf_1172.jpg
